1,Обладунок мага  ,"Перешкоджання, 1 рівень",1 дія,Дотик Складові:,"В, С, М (шматочок висушеної шкіри)",8 годин,"Ви торкаєтеся згодної істоти, яка не носить броні, і захисна магічна енергія оточує її, поки не завершаться чари. Базовий КЗ цілі стає 13 + її модифікатор Спритності. Чари завершуються, якщо ціль вдягає обладунки або якщо ви припиняєте їх дією.","Заклинач, чарівник"
5,Оболонка проти живих  ,"Перешкоджання, 5 рівень",1 дія,На себе,"В, С","Концентрація, до 1 години","Мерехтливий бар’єр виникає навколо вас у межах 10 футів і рухається разом із вами, залишаючись відцентрованим на вас і впливає на істот, окрім невмерлих та конструктів. Бар’єр існує, поки діють чари.  Бар’єр заважає істоті пройти чи дотягнутися наскрізь. Істота під дією цих чарів може створювати чари чи виконувати крізь бар’єр атаки далекобійною зброєю чи зброєю із досяжністю. Якщо ви рухаєтеся так, що істота під впливом цих чарів мусить пройти крізь бар’єр, чари закінчуються.",Друїд
1,Обплутування ,"З’явлення, 1 рівень",1 дія,90 футів,"В, С","Концентрація, до 1 хвилини","Чіпкі бур’яни та лози виростають із землі у 20-футовому квадраті, починаючи з точки у межах відстані. Поки діють чари, ці рослини перетворюють землю в цій області у важкопрохідну місцевість. Коли ви створюєте ці чари, істота в цій області мусить зробити успішний рятівний кидок Сили, або стане скутою через обплутування рослинами, поки чари не завершаться. Скута рослинами істота може використати свою дію для перевірки Сили проти КС Ваших чарів. При успіху вона звільняється. Коли чари закінчуються, вичаклувані рослини в’януть.",Друїд
5,Обітниця ,"Зачарування, 5 рівень",1 хвилина,60 футів,В,30 днів,"Ви віддаєте магічний наказ істоті, яку ви можете бачити в межах відстані, примушуючи її виконати якісь послуги або відмовитися від певних дій або активності залежно від вашого рішення. Якщо істота вас розуміє, вона повинна зробити успішний рятівний кидок Мудрості, інакше стане причарованою вами на час дії чарів. Поки істота вами причарована, вона отримує 5к10 ушкоджень психічною енергією кожен раз, коли діє, прямо порушуючи ваші інструкції, але не більше одного разу за день. На істоту, яка вас не розуміє, ваші чари не мають впливу. Ви можете віддати будь-який наказ за власним вибором, крім дій, які точно спричинять смерть. Як тільки ви віддаєте суїцидальний наказ, чари закінчуються. Ви можете завершити чари раніше, використавши дію, щоб скасувати їх. Зняття прокляття, велике відновлення чи бажання також завершують ці чари. На вищих рівнях.Коли ви створюєте ці чари з використанням чарунки 7 або 8 рівня, тривалість чарів збільшується до 1 року. Коли ви створюєте ці чари з використанням чарунки 9 рівня, чари тривають, поки не будуть завершені одними зі згаданих вище чарів.","Бард, друїд, клірик, чарівник, паладин"
1,Огидний сміх  ,"Зачарування, 1 рівень",1 дія,30 футів,"В, С, М (крихітні пиріжки й пір’їна, якою розмахують у повітрі)","Концентрація, до 1 хвилини","Вибрана вами істота, яку ви можете бачити в межах відстані, сприймає все до смішного кумедним і піддається нападам сміху, якщо ці чари впливають на неї. Ціль повинна зробити успішний рятівний кидок Мудрості або впаде, стаючи недієздатною, і не може підвестися, поки діють чари. Істота зі значенням Інтелекту 4 або менше не піддається чарам. У кінці кожного свого ходу та кожного разу, коли істота отримує ушкодження, вона може зробити повторний рятівний кидок Мудрості. Ціль має перевагу на цей рятівний кидок, якщо робить його через отримані ушкодження. У разі успіху чари завершуються.","Бард, чарівник"
3,Оживлений образ  ,"Ілюзія, 3 рівень",1 дія,120 футів,"В, С, М (трошки овечої вовни)","Концентрація, до 10 хвилин","Ви створюєте образ предмета, істоти чи якогось іншого видимого феномена, який може вміститися у 20-футовий куб. Образ з’являється у місці, яке ви можете бачити в межах відстані, та існує, поки діють чари. Він виглядає цілком реальним, включно зі звуками, запахами та температурою, відповідною до зображеної речі. Ви не можете створити достатньо жару чи холоду, щоб завдати ушкоджень, звук, достатньо голосний, щоб завдати ушкодження громом чи оглушити істоту, або запах, який призводить до нездужання істоти (подібно до смороду троглодитів). Поки ви залишаєтеся в межах відстані для ілюзії, ви можете використовувати дію, щоб змусити образ рухатися в будь-яке інше місце в межах відстані. Коли образ змінює розташування, ви можете змінити його вигляд так, щоб його переміщення виглядало природним. Наприклад, якщо ви створюєте образ істоти та переміщуєте його, ви можете змінити образ так, щоб він виглядав, ніби йде. Так само ви можете змусити ілюзію видавати різні звуки в різний час, наприклад, навіть змусити її підтримувати розмову. Фізична взаємодія із образом виявляє, що це ілюзія, оскільки речі можуть проходити наскрізь. Істота, що використовує дію для обстеження образу, може визначити, що це ілюзія, успішною перевіркою Інтелекту (Розслідування) проти КС ваших чарів. Якщо істота розпізнає ілюзію, вона може бачити крізь образ, і всі інші чуттєві якості образу слабнуть для цієї істоти. На вищих рівнях. Коли ви створюєте ці чари з використанням чарунки 6 рівня або вищої, чари тривають, доки не будуть розвіяні, та не потребують вашої концентрації.","Бард, заклинач, чаклун, чарівник"
5,Оживлення мерців  ,"Некромантія, 5 рівень",1 година,Дотик Складові:,"В, С, М (діамант вартістю щонайменше 500 зм, який поглинається чарами)",Миттєво,"Ви повертаєте до життя мертву істоту, до якої торкаєтеся, за умови, що вона була мертвою не довше 10 днів. Якщо душа істоти має бажання та свободу, щоб повернутися до тіла, істота повертається до життя із 1 пунктом здоров’я. Ці чари також нейтралізують будь-які отрути та лікують немагічні хвороби, які істота мала на час смерті. Але ці чари, однак, не видаляють магічні хвороби, прокляття та подібні ефекти; якщо їх не прибрати до створення чарів, ці ефекти починають діяти, коли істота повертається до життя. Ці чари не можуть повернути до життя невмерлу істоту. Ці чари закривають усі смертельні рани, але не відновлюють втрачені частини тіла. Якщо істота не має частин тіла чи органів, які є необхідними для виживання - наприклад, голови, - чари автоматично провалюються. Повернення з мертвих до життя є випробуванням. Ціль отримує штраф -4 на всі кидки атаки, рятівні кидки та перевірки здібностей. Щоразу, коли ціль завершує тривалий відпочинок, цей штраф зменшується на 1, доки не зникне.","Бард, клірик, паладин"
5,Оживлення предметів  ,"Перетворення, 5 рівень",1 дія,120 футів,"В, С","Концентрація, до 1 хвилини","Предмети оживають за вашою командою. Виберіть до 10 немагічних предметів у межах відстані, які ніхто не несе і не носить. Цілі середнього розміру вважаються двома предметами, цілі великого розміру - чотирма предметами, цілі величезного розміру вважаються вісьмома предметами. Ви не можете оживити предмет, розмір якого більший за “величезний”. Кожна ціль оживає і стає істотою під вашим контролем, доки тривають чари або доки їхні пункти здоров’я не зменшаться до 0. Бонусною дією ви можете віддати ментальний наказ створеній цими чарами істоті, якщо істота перебуває у межах 500 футів від вас (якщо ви контролюєте кількох істот, ви можете наказувати будь-якій із них або всім одночасно, віддаючи кожній істоті той самий наказ). Ви вирішуєте, яку дію виконуватиме істота і куди вона рухатиметься у свій наступний хід, або ж ви можете віддати загальний наказ, наприклад, вартувати певну кімнату або коридор. Якщо ви не віддаєте наказів, істота тільки захищається від ворожих істот. Щойно віддано наказ, істота продовжує виконувати його, поки задачу не буде виконано. Оживлений предмет - це конструкт із КЗ, пунктами здоров’я, атаками, Силою та Спритністю, визначеними його розміром. Його Статура складає 10, Інтелект та Мудрість 3, а Харизма складає 1. Його швидкість 30 футів; якщо у предмета немає ніг або інших кінцівок, які він міг би використовувати для пересування, він натомість має швидкість польоту 30 футів і може зависати. Якщо цей предмет надійно прикріплений на поверхні більшого предмтеа, наприклад, ланцюг, прикручений до стіни, його швидкість дорівнює 0. Він має сліпий зір із радіусом 30 футів, і не бачить далі цієї відстані. Коли пункти здоров’я оживленого предмета знижуються до 0, він повертається до початкової форми, і будь-які надмірні пошкодження також переносяться на початкову форму предмета. Якщо ви наказуєте предмету атакувати, він виконує одиничну атаку ближнього бою проти істоти в межах 5 футів від себе. Він завдає удару із бонусом атаки та дробильними пошкодженнями, визначеними його розміром. Ігромайстер може постановити, що конкретний предмет завдає колоті або рубані пошкодження на основі його форми. На вищих рівнях. Коли ви створюєте ці чари з використанням чарунки 6 рівня або вищої, ви можете оживляти два додаткові предмети за кожну чарунку вище п’ятої.","Бард, заклинач, чарівник"
0,Опір ,"Перешкоджання, замовляння",1 дія,Дотик Складові:,"В, С, М (мініатюрний плащ)","Концентрація, до 1 хвилини","Ви торкаєтеся однієї згодної істоти. Один раз, поки чари не завершаться, ціль може кинути к4 і додати число, яке випало, до одного рятівного кидка на свій вибір. Вона може здійснити кидок кістки перед або після здійснення рятівного кидка. Тоді чари завершуються.","Друїд, клірик"
5,Освячення ,"Втілення, 5 рівень",24 години,Дотик Складові:,"В, С, М (трави, олії та ладан вартістю щонайменше 1000 зм, які поглинаються чарами)",Доки не розвіють,"Ви торкаєтеся точки та наповнюєте область навколо неї святої (або нечестивою) силою. Область може мати радіус до 60 футів, і чари провалюються, якщо радіус включає область, що вже є під ефектом чарів освячення. Область чарів має наступні ефекти. По-перше, небожителі, стихійники, феї, погань і невмерлі не можуть увійти в область, і такі істоти не можуть причарувати, налякати або зробити одержимими істот всередині області. Будь-яка істота, причарована, налякана або одержима таким створінням, перестає бути причарованою, наляканою чи одержимою, коли входить в область. Ви можете виключити один або більше тип істот з цього ефекту. По-друге, ви можете прив’язати до області додатковий ефект. Виберіть ефект із наступного списку, або виберіть ефект, запропонований Майстром. Деякі з цих ефектів застосовуються до істот в області; ви можете визначити, чи ефект застосовується до всіх істот, до прихильників певного божества чи лідера, чи істот певного сорту, наприклад, орків або тролів. Коли істота, на яку має подіяти ефект чарів, входить в область уперше за свій хід або завершує там свій хід, вона повинна зробити рятівний кидок Харизми. У разі успіху істота ігнорує додатковий ефект, доки не вийде з області. Відвага. Уражених істот не можна налякати, поки вони в області. Темрява. Область наповнює темрява. Нормальне світло, а також магічне світло, створене чарами, рівень яких нижчий за рівень чарунки, якою ви створили ці чари, не можуть освітити область. Денне світло. Яскраве світло наповнює область. Магічна темрява, створена чарами, рівень яких нижчий, ніж чарунка, яку ви використали для створення цих чарів, не може загасити це світло. Захист від енергії. Уражені істоти в області мають стійкість до одного типу ушкоджень за вашим вибором, окрім дробильних, колотих чи рубаних. Вразливість до енергії. Уражені істоти в області мають вразливість до одного типу ушкожень за вашим вибором, окрім дробильних, колотих чи рубаних. Вічний відпочинок. Мертві тіла, поховані в цій області, неможливо зробити невмерлими. Міжвимірна перешкода. Уражені істоти не можуть переміщуватися чи мандрувати з використанням телепортації або міжвимірними чи міжплановими способами. Страх. Уражені істоти налякані, поки перебувають в області. Тиша. Жоден звук не може вийти з області, і жоден звук не може проникнути всередину. Мови. Уражені істоти можуть спілкуватися з будь-якими іншими істотами в області, навіть якщо вони не мають спільної мови.",Клірик
0,Отруйні бризки  ,"З’явлення, замовляння",1 дія,10 футів,"В, С",Миттєво,"Ви простягаєте руку до істоти, яку можете бачити в межах відстані, й із вашої долоні злітає подув згубного газу. Істота повинна зробити рятівний кидок Статури, або отримає 1к12 ушкоджень отрутою. Ушкодження цих чарів зростають на 1к12, коли ви досягаєте 5 рівня (2к12), 11 рівня (3к12) та 17 рівня (4к12).","Друїд, заклинач, чаклун, чарівник"
2,Охоронний звязок  ,"Перешкоджання, 2 рівень",1 дія,Дотик Складові:,"В, С, М (пара платинових каблучок вартістю щонайменше 50 зм кожна, які ви та ціль повинні носити, поки діють чари)",1 година,"Ці чари захищають істоту, якої ви торкаєтеся, і створюють містичний зв’язок між вами та ціллю на час дії чарів. Поки ціль перебуває у межах 60 футів від вас, вона отримує бонус +1 до КЗ та рятівних кидків, а також має стійкість до всіх ушкоджень. Також кожного разу, коли ціль отримує ушкодження, ви отримуєте таку саму кількість ушкоджень. Чари завершуються, якщо ваші пункти здоров’я знижуються до 0, або якщо ви та ціль опиняєтеся на відстані понад 60 футів одне від одного. Чари також завершуються, якщо їх створити знову на одну із пов’язаних істот. Ви також можете зупинити ці чари дією.",Клірик
3,Охоронний символ   ,"Перешкоджання, 3 рівень",1 година,Дотик Складові:,"В, С, М (ладан і подрібнений в порошок діамант ціною мінімум 200 зм, які поглинаються чарами)",До розвіювання або спрацювання,"Коли ви створюєте ці чари, ви надписуєте символ, який шкодить іншим істотам, або на поверхні (наприклад, на столі або частині підлоги чи стіни), або всередині предмета, який можна зачинити (наприклад, в книзі, на сувої або у скрині зі скарбами), щоб приховати цей символ. Якщо ви вибираєте поверхню, то символ може покривати площу не більше 10 футів в діаметрі. Якщо ви обираєте предмет, він мусить залишатися на своєму місці; якщо предмет перенести далі 10 футів від місця, де ви створюєте ці чари, символ руйнується, і чари закінчуються без спрацювання. Символ майже непомітний і вимагає успішної перевірки Інтелекту (Розслідування) проти КС ваших чарів. Ви визначаєте умови спрацювання символа, коли створюєте ці чари. Для символів, вирізаних на поверхні, найбільш типові тригери включають дотик або ставання на символ, видалення предмета, який його накривав, наближення на певну відстань до символа чи маніпуляції з предметом, на якому нанесено символ. Для символів, надписаних всередині предмета, найпоширеніші тригери включають відкривання предмета, наближення на певну відстань до предмета, бачення або читання символа. Щойно символ спрацював, ці чари закінчуються. Ви можете удосконалити тригер так, щоб чари спрацьовували тільки при певних умовах або відповідно до фізичних характеристик (таких як зріст або вага), типу істоти (наприклад, може бути встановлено захист проти аберацій або дроу), чи світогляду. Ви також можете встановити умови для істот, на яких символ не спрацьовуватиме, наприклад, тих, хто скаже певний пароль. Коли ви наносите символ, виберіть вибухові руни або символ чарів. Вибухові руни. Під час спрацювання символ вибухає магічною енергією у сферу діаметром 20 футів, із центром на символі. Ця сфера поширюється, огинаючи кути. Кожна істота в області повинна здійснити рятівний кидок Спритності. Істота отримує 5к8 ушкоджень кислотою, холодом, вогнем, блискавкою або громом у разі невдачі (ви вибираєте під час створення символа) або половину цих ушкоджень за умови успіху. Символ чарів. Ви можете вкласти у символ підготовлені чари 3 або нижчого рівня, чаруючи їх як частину створення символа. Чари повинні націлюватися на одну істоту або на область. Вкладені в символ чари не мають миттєвого ефекту, коли створені таким чином. Коли символ спрацьовує, створюються вкладені чари. Якщо чари мають ціль, ціллю є істота, яка спровокувала символ. Якщо чари впливають на область, ця область має центр на цій істоті. Якщо чари прикликають ворожих істот чи створюють шкідливі предмети або пастки, вони з’являються так близько, як можливо, біля порушника, та атакують його. Якщо чари вимагають концентрації, вони існують до кінця їхньої повної тривалості. На вищих рівнях. Коли ви створюєте ці чари з використанням чарунки 4 рівня або вищої, ушкодження від символа вибухових рун зростають на 1к8 за кожну чарунку вище третьої. Якщо ви створюєте символ чарів, то можете вкласти в нього чари аж до того рівня, чарунку якого ви використовуєте для охоронного символа.","Бард, клірик, чарівник."
1,Очищення жі та напов    ,"Перетворення, 1 рівень (ритуал)",1 дія,10 футів,"В, С",Миттєво,Уся немагічна їжа та напої у сфері радіусом 5 футів із центром у вибраній вами точки в межах відстані очищуються та звільняються від отрут та хвороб.,"Клірик, друїд, паладин"
5,Ошуканство ,"Ілюзія, 5 рівень",1 дія,На себе,С,"Концентрація, до 1 години","Ви стаєте невидимим, і в цей же час ваш ілюзорний двійник виникає в місці, де ви стоїте. Двійник існує, поки діють чари, але невидимість завершується, якщо ви атакуєте або створюєте чари. Ви можете використати свою дію, щоб переміщувати свого ілюзорного двійника на свою подвійну швидкість і зробити жест, говорити чи поводитися так, як ви хочете. Ви можете бачити його очима й чути його вухами, ніби ви перебуваєте там, де й він. Бонусною дією в кожен свій хід ви можете перемикатися між своїми чуттями та чуттями двійника, і навпаки. Поки ви використовуєте чуття двійника, ви осліплені та оглушені відносно власного оточення.","Бард, чарівник"
2,Павутиння ,"З’явлення, 2 рівень",1 дія,60 футів,"В, С, М (трошки павутиння)","Концентрація, до 1 години","Ви прикликаєте масу товстого, липкого павутиння у точку за власним вибором у межах дистанції. Павутиння заповнює 20-футовий куб від цієї точки на час дії чарів. Павутиння є важкопрохідної місцевістю, а його область є важкопроглядною. Якщо павутиння не закріплене між двома твердими предметами (наприклад, стінами чи деревами) чи не вкриває підлогу, стіни або стелю, прикликане павутиння руйнується під своєю вагою, і чари завершуються на початку вашого наступного ходу. Павутиння, що вкриває пласку поверхню, має глибину 5 футів. Кожна істота, що починає свій хід у павутинні або входить до павутиння у свій хід, повинна зробити рятівний кидок Спритності. У разі невдачі істота скута, поки залишається у павутинні або поки не вирветься з нього. Істота, скута павутинням, може використати дію, щоб зробити перевірку Сили проти вашого КС чарів. Коли вона досягає успіху, то перестає бути скутою. Павутиння є займистим. Будь-який 5-футовий куб павутиння, підданий вогню, вигорає за 1 раунд, завдаючи 2к4 ушкоджень вогнем будь-яким істотам, що починають свій хід у полум’ї.","Заклинач, чарівник"
2,Павуче лазіння  ,"Перетворення, 2 рівень",1 дія,Дотик Складові:,"В, С, М (крапля бітуму та павук)","Концентрація, до 1 години","Поки не завершаться чари, одна згодна істота, якої ви торкаєтеся, набуває здатності рухатися вгору, вниз та поперек вертикальних поверхонь та догори ногами по стелі, залишаючи руки вільними. Ціль також здобуває швидкість лазіння, що дорівнює її швидкості ходіння.","Заклинач, чаклун, чарівник"
1,Падіння пірною  ,"Перетворення, 1 рівень","1 реакція,",60 футів,"В, М (маленька пір’їна або шматочок моху)",1 хвилина,"Оберіть до п’яти істот, які падають у межах відстані. Швидкість падіння істоти вповільнюється до 60 футів за раунд, поки чари не завершаться. Якщо істота приземляється до завершення дії чарів, вона не отримує ушкоджень від падіння та стає на ноги, і дія чарів для цієї істоти завершується.","Бард, заклинач, чарівник"
7,Палець смерті   ,"Некромантія, 7 рівень",1 дія,60 футів,"В, С",Миттєво,"Ви спрямовуєте негативну енергію крізь істоту, яку можете бачити в межах відстані, завдаючи їй пекучого болю. Ціль повинна зробити рятівний кидок Статури. Вона отримує 7к8 + 30 ушкоджень некротичною енергією у разі невдачі, або половину цих ушкоджень за умови успішного ряткидка. Гуманоїд, убитий цими чарами, постає на початку наступного вашого ходу як зомбі під вашим постійним командуванням, і виконує ваші усні накази в міру своїх можливостей.","Заклинач, чаклун, чарівник"
2,Палюча сфера  ,"З’явлення, 2 рівень",1 дія,60 футів,"В, С, М (трохи жиру, дрібка сірки та пил залізного порошку)","Концентрація, до 1 хвилини","Вогняна сфера діаметром 5 футів з’являється у вільному місці за вашим вибором у радіусі дії та існує, поки діють чари. Будь-яка істота, що завершує свій хід у межах 5 футів від сфери, повинна зробити рятівний кидок Спритності. Істота отримує 2к6 ушкоджень вогнем у разі невдачі, або половину цих ушкоджень у разі успіху. Бонусною дією ви можете перемістити сферу на відстань до 30 футів. Якщо ви жбурляєте сферу в істоту, ця істота повинна зробити рятівний кидок проти ушкоджень сфери, і сфера перестає рухатися в цей хід. Коли ви переміщуєте сферу, ви можете спрямовувати її над бар’єрами до 5 футів заввишки та над прірвами до 10 футів завширшки. Сфера підпалює займисті предмети, які ніхто не тримає при собі, та випромінює яскраве світло в радіусі 20 футів і тьмяне світло на додаткові 20 футів. На вищих рівнях. Коли ви створюєте ці чари з використанням чарунки 3 рівня або вищої, ушкодження зростають на 1к6 за кожну чарунку вище другої.","Друїд, чарівник"
1,Палючі долоні  ,"Втілення, 1 рівень",1 дія,На себе,"В, С",Миттєво,"Ви тримаєте долоні так, щоб великі пальці торкалися, а всі інші пальці були розведені. З ваших розчепірених пальців вперед вириваються тонкі язики полум’я. Кожна істота в межах 15-футового конуса мусить зробити рятівний кидок Спритності. Істота отримує 3к6 ушкоджень вогнем у разі невдачі, або половину цих ушкоджень у разі успіху. Вогонь підпалює займисті предмети, які ніхто не несе й не носить. На вищих рівнях. Коли ви створюєте ці чари з використанням чарунки 2-го рівня або вищої, ушкодження збільшуються на 1к6 за кожен рівень чарунки вище першої.","Заклинач, чарівник"
1,Пекельна відсіч  ,"Втілення, 1 рівень","1 реакція,",60 футів,"В, С",Миттєво,"Ви вказуєте пальцем на істоту, що завдала вам ушкоджень, і її охоплює пекельне полум’я. Істота повинна зробити рятівний кидок Спритності. Вона отримує 2к10 ушкоджень вогнем у разі невдачі або половину цих ушкоджень за умови успіху. На вищих рівнях. Коли ви створюєте ці чари з використанням чарунки 2 рівня або вищої, ушкодження зростають на 1к10 за кожну чарунку вище першої.",Чаклун
4,Перевтілення ,"Перетворення, 4 рівень",1 дія,60 футів,"В, С, М (кокон гусені)","Концентрація, до 1 години","Ці чари перетворюють істоту, яку ви можете бачити в межах відстані, на нову форму. Незгодна істота повинна зробити рятівний кидок Мудрості, щоб уникнути ефекту. Чари не впливають на перекиднів чи істот із 0 пунктів здоров’я. Перетворення триває, поки діють чари, або поки пункти здоров’я істоти не опустяться до 0 або вона не помре. Нова форма може бути будь-яким звіром, чий клас небезпеки дорівнює або менший, ніж цілі (або рівень цілі, якщо вона не має класу небезпеки). Ігрова статистика цілі, включно зі значеннями ментальних здібностей, замінюються на значення статистики вибраного звіра. Вона зберігає світогляд і особистість. Ціль отримує пункти здоров’я цієї нової форми. Коли істота повертається до своєї нормальної форми, вона відновлює пункти здоров’я, які мала до перетворення. Якщо перетворення сталося унаслідок зниження пунктів здоров’я до 0, усі надмірні ушкодження переходять до нормальної форми. Поки надмірні ушкодження не знижують нормальні пункти здоров’я істоти до нуля, вона не непритомна. Істота обмежена в діях, що може виконувати за природою своєї нової форми, і вона не може говорити, створювати чари чи виконувати будь-які інші дії, що потребують рук або мови. Спорядження цілі зливається з її новою формою. Істота не може активувати, використовувати, тримати чи якось інакше отримувати привілеї від свого спорядження, яким би воно не було.","Бард, друїд, заклинач, чарівник"
9,Передбачення ,"Віщування, 9 рівень",1 хвилина,Дотик Складові:,"В, С, М (пір’їна колібрі)",8 годин,"Ви торкаєтеся згодної істоти і наділяєте її обмеженою здатністю бачити найближче майбутнє. Поки діють чари, ціль неможливо захопити зненацька і вона має перевагу на кидки атаки, перевірки здібностей та рятівні кидки. Крім того, інші істоти мають перешкоду на кидки атаки проти цілі, поки діють чари. Ці чари негайно завершуються, коли ви створюєте їх знову до завершення дії.","Бард, друїд, чаклун, чарівник"
9,Перекидання ,"Перетворення, 9 рівень",1 дія,Дотик Складові:,"В, С, М (нефритовий вінець вартістю щонайменше 1500 зм, який ви повинні вдягнути собі на голову, перш ніж створювати чари)","Концентрація, до 1 години","Ви перекидаєтеся на іншу істоту на час дії чарів. Нова форма може бути будь-якою істотою, чий клас небезпеки дорівнює вашому рівню або нижчий за нього. Істота не може бути конструктом або невмерлим, і ви мусите побачити таку істоту принаймні один раз. Ви перекидаєтеся на посередній екземпляр такої істоти, такий, що не має жодних класових рівнів чи особливості Чарування. Ваша ігрова статистика замінюється на статистику вибраної істоти, хоча ви зберігаєте свій світогляд та значення Інтелекту, Мудрості та Харизми. Ви також зберігаєте усі свої навички й опановані ряткидки на додачу до тих, які має істота. Якщо істота має такий самий досвід, як і ви, але її показники вищі, ніж ваші, використовуйте бонуси цієї істоти замість власних. Ви не можете користуватися легендарними діями чи діями лігва нової форми. Ви отримуєте пункти здоров’я та кістки здоров’я нової форми. Коли ви повертаєтеся до нормальної форми, ви також відновлюєте ті пункти здоров’я, які мали до перетворення. Якщо перетворення сталося унаслідок зниження пунктів здоров’я до 0, усі надмірні ушкодження переходять до нормальної форми. Поки надмірні ушкодження не знижують ваші нормальні пункти здоров’я до нуля, ви не непритомні. Ви зберігаєте привілеї будь-яких особливостей свого класу, раси та інших джерел, і ви можете використовувати їх за умови, що нова форма здатна це робити. Ви не можете користуватися жодними спеціальними чуттями (наприклад, темним зором), хіба що ваша нова форма також має це чуття. Ви можете говорити, лише якщо істота може говорити нормально. Коли ви перекидаєтеся, то вибираєте, чи ваше спорядження впаде на землю, чи зіллється з вашою новою формою, чи й у новій формі залишиться вдягненим. Вдягнене спорядження працює як звичайно. Майстер визначає, чи дієво для нової форми носити предмети спорядження, залежно від форми та розміру істоти. Ваше спорядження не змінює ані форму, ані розмір для нової форми, і будь-яке спорядження, яке ця нова форма не може вдягнути, повинно або залишитися на землі, або злитися з новою формою. Спорядження, що злилося, не діє в цьому стані. Поки діють чари, ви можете використати дію, щоб набрати іншої форми, дотримуючись тих самих обмежень та правил, що й для початкової форми, з одним винятком: якщо ваша нова форма має більше пунктів здоров’я, ніж ваша поточна, ваші пункти здоров’я зберігають своє поточне значення.","Друїд, чарівник"
